Word,Level,Category,Details
cabin,B1,homes and buildings,/american-english/words/usdetail/729
candle,B1,homes and buildings,/american-english/words/usdetail/758
chest of drawers,B1,homes and buildings,/american-english/words/usdetail/893
attic,B2,homes and buildings,/american-english/words/usdetail/376
barrier,B2,homes and buildings,/american-english/words/usdetail/460
basement,B2,homes and buildings,/american-english/words/usdetail/464
bench,B2,homes and buildings,/american-english/words/usdetail/515
brick,B2,homes and buildings,/american-english/words/usdetail/650
cellar,B2,homes and buildings,/american-english/words/usdetail/829
chimney,B2,homes and buildings,/american-english/words/usdetail/904
cloth,B2,homes and buildings,/american-english/words/usdetail/967
column,B2,homes and buildings,/american-english/words/usdetail/1011
balcony,C2,homes and buildings,/american-english/words/usdetail/435
air conditioning,B1,homes and buildings,/american-english/words/usdetail/146
architecture,B1,homes and buildings,/american-english/words/usdetail/301
bed,A1,homes and buildings,/american-english/words/usdetail/493
carpet,A2,homes and buildings,/american-english/words/usdetail/791
bank,A1,money,/american-english/words/usdetail/445
cent,A2,money,/american-english/words/usdetail/833
account,B1,money,/american-english/words/usdetail/44
bill,B1,money,/american-english/words/usdetail/539
coin,B1,money,/american-english/words/usdetail/992
award,B2,money,/american-english/words/usdetail/400
balance,B2,money,/american-english/words/usdetail/433
bank account,B2,money,/american-english/words/usdetail/446
budget,B2,money,/american-english/words/usdetail/681
bid,C2,money,/american-english/words/usdetail/534
cash,A2,money,/american-english/words/usdetail/799
change,B1,money,/american-english/words/usdetail/855
change,B1,money,/american-english/words/usdetail/855
borrow,A2,money,/american-english/words/usdetail/606
change,A2,money,/american-english/words/usdetail/855
borrow,C1,money,/american-english/words/usdetail/606
beach,A1,natural world,/american-english/words/usdetail/480
area,A2,natural world,/american-english/words/usdetail/302
bay,B1,natural world,/american-english/words/usdetail/478
branch,B1,natural world,/american-english/words/usdetail/628
breeze,B1,natural world,/american-english/words/usdetail/647
cave,B1,natural world,/american-english/words/usdetail/819
cliff,B1,natural world,/american-english/words/usdetail/952
coast,B1,natural world,/american-english/words/usdetail/981
atom,B2,natural world,/american-english/words/usdetail/364
bank,B2,natural world,/american-english/words/usdetail/445
berry,B2,natural world,/american-english/words/usdetail/520
bush,B2,natural world,/american-english/words/usdetail/709
carbon footprint,B2,natural world,/american-english/words/usdetail/775
cloud,B2,natural world,/american-english/words/usdetail/970
bed,C2,natural world,/american-english/words/usdetail/493
air,A2,natural world,/american-english/words/usdetail/145
aluminum,B2,natural world,/american-english/words/usdetail/191
carbon,B2,natural world,/american-english/words/usdetail/773
carbon dioxide,B2,natural world,/american-english/words/usdetail/774
carbon monoxide,B2,natural world,/american-english/words/usdetail/776
climate change,B2,natural world,/american-english/words/usdetail/954
astronomy,C2,natural world,/american-english/words/usdetail/359
cloud,A2,natural world,/american-english/words/usdetail/970
climate,B1,natural world,/american-english/words/usdetail/953
acid,B2,natural world,/american-english/words/usdetail/58
coastline,C2,natural world,/american-english/words/usdetail/983
bottom,B1,natural world,/american-english/words/usdetail/613
atmosphere,B2,natural world,/american-english/words/usdetail/363
blow,B1,natural world,/american-english/words/usdetail/574
break,C2,natural world,/american-english/words/usdetail/637
boil,B1,natural world,/american-english/words/usdetail/583
bath,A1,people: actions,/american-english/words/usdetail/472
check,B1,people: actions,/american-english/words/usdetail/876
act,B2,people: actions,/american-english/words/usdetail/64
attempt,B2,people: actions,/american-english/words/usdetail/372
capture,C1,people: actions,/american-english/words/usdetail/771
come,A1,people: actions,/american-english/words/usdetail/1016
come,A1,people: actions,/american-english/words/usdetail/1016
act,B1,people: actions,/american-english/words/usdetail/64
behave,B1,people: actions,/american-english/words/usdetail/504
blow,B1,people: actions,/american-english/words/usdetail/574
act,B2,people: actions,/american-english/words/usdetail/64
adjust,B2,people: actions,/american-english/words/usdetail/87
campaign,C1,people: actions,/american-english/words/usdetail/747
cling,C2,people: actions,/american-english/words/usdetail/957
carry,A1,people: actions,/american-english/words/usdetail/794
clean,A1,people: actions,/american-english/words/usdetail/943
color,A1,people: actions,/american-english/words/usdetail/1009
add,A2,people: actions,/american-english/words/usdetail/75
add,A2,people: actions,/american-english/words/usdetail/75
bring,A2,people: actions,/american-english/words/usdetail/659
brush,A2,people: actions,/american-english/words/usdetail/677
collect,A2,people: actions,/american-english/words/usdetail/1003
achieve,B1,people: actions,/american-english/words/usdetail/56
attach,B1,people: actions,/american-english/words/usdetail/366
attempt,B1,people: actions,/american-english/words/usdetail/372
avoid,B1,people: actions,/american-english/words/usdetail/398
bury,B1,people: actions,/american-english/words/usdetail/707
cancel,B1,people: actions,/american-english/words/usdetail/754
carry,B1,people: actions,/american-english/words/usdetail/794
catch,B1,people: actions,/american-english/words/usdetail/810
circle,B1,people: actions,/american-english/words/usdetail/918
collect,B1,people: actions,/american-english/words/usdetail/1003
acquire,B2,people: actions,/american-english/words/usdetail/61
adapt,B2,people: actions,/american-english/words/usdetail/73
adjust,B2,people: actions,/american-english/words/usdetail/87
adopt,B2,people: actions,/american-english/words/usdetail/98
analyze,B2,people: actions,/american-english/words/usdetail/221
arrange,B2,people: actions,/american-english/words/usdetail/313
assess,B2,people: actions,/american-english/words/usdetail/342
avoid,B2,people: actions,/american-english/words/usdetail/398
beat,B2,people: actions,/american-english/words/usdetail/486
